Club	 Ball	 Ball Speed (MPH)	 Launch Angle (degrees)	 Backspin (RPM)	 Sidespin (RPM) 	 Carry (YDS) 	 Total (YDS)
T250 	 Standard	117.5	15.4	3799	-1327	171.6	187.4
T250 	 Standard	126	14.6	4177	-2042	181.1	195.2
T250 	 Standard	116.5	15.6	4376	-1496	167	181
T250 	 Standard	94	11.1	1988	-1751	96.7	126.2
T250 	 Standard	128.1	16.9	5214	-1078	186	197.9
T250 	 Standard	119.4	13.3	4743	-1226	170.3	184.9
g440 Red dor	 Standard	111.5	16.6	3960	-846	162.1	176.7
g440 Red dor	 Standard	84.5	17.7	1470	111	106.5	129.3
g440 Red dor	 Standard	81.4	12.2	885	-1480	66	99.3
g440 Red dor	 Standard	123.3	12.7	4017	-2390	170.4	185.6
g440 Red dor	 Standard	116.5	14.1	4772	-1726	163.2	177.6
g440 Red dor	 Standard	120.8	14.4	4841	-1029	174.3	187.5
g440 Red dor	 Standard	121.2	17.2	4065	-1616	177.5	191.8
g440 Red dor	 Standard	111.2	14.8	2792	-2068	150.6	169.3
g440 Red dor	 Standard	123.3	17.8	5256	-674	178.5	190.1
g440 Red dor	 Standard	118.6	17.5	5654	-1045	168.2	178.8
g440 Red dor	 Standard	117.2	19	5199	-96	168.8	180.2
g440 Red dor	 Standard	96	15.2	818	-1575	102.5	136.1
g440 Red dor	 Standard	96.5	15.4	2280	-3008	108.5	128.3
g440 Red dor	 Standard	122.9	22.2	6703	979	168.5	177.1
g440 Red dor	 Standard	113.6	17.3	3589	-1764	163.2	178.3
g440 Red dor	 Standard	139	12.8	483	-1206	167.2	210.3
g440 Red dor	 Standard	146.4	18.9	4132	1780	218.6	230.9
Driver	 Standard	135.4	13.1	1940	-659	222.1	249.8
Driver	 Standard	141.5	0	1334	-2054	0	175.8
Driver	 Standard	148.3	7.4	1568	-1116	199.3	236.9
Driver	 Standard	140.2	19.1	3352	564	224.8	240.9
Driver	 Standard	148.5	12.3	2042	-1111	241.3	263.9
Driver	 Standard	26	38.7	4536	-1545	14.1	17.3
Driver	 Standard	143	16.9	2201	-1235	235.8	255
Driver	 Standard	142.8	15	1556	-2994	185.1	203.8
